Date       ,Open               ,High               ,Low                ,Close
2022-01-03 ,146.0              ,147.35000610351562 ,146.0              ,146.39999389648438
2022-01-04 ,147.6999969482422  ,149.60000610351562 ,147.6999969482422  ,149.60000610351562
2022-01-05 ,150.10000610351562 ,150.5500030517578  ,149.10000610351562 ,149.3000030517578
2022-01-06 ,148.3000030517578  ,148.75             ,147.0              ,147.89999389648438
2022-01-07 ,148.3000030517578  ,149.0              ,146.5              ,146.60000610351562
2022-01-10 ,146.0              ,147.8000030517578  ,145.39999389648438 ,147.5500030517578
2022-01-11 ,147.60000610351562 ,148.5              ,146.6999969482422  ,148.3000030517578
2022-01-12 ,149.35000610351562 ,149.60000610351562 ,148.6999969482422  ,149.5500030517578
2022-01-13 ,149.5500030517578  ,150.4499969482422  ,149.5500030517578  ,150.3000030517578
2022-01-14 ,150.8000030517578  ,151.1999969482422  ,149.0500030517578  ,150.3000030517578
2022-01-17 ,151.10000610351562 ,152.39999389648438 ,151.10000610351562 ,152.0
2022-01-18 ,152.1999969482422  ,152.25             ,150.14999389648438 ,150.3000030517578
2022-01-19 ,149.0              ,149.64999389648438 ,148.25             ,148.5
2022-01-20 ,148.5              ,149.1999969482422  ,147.60000610351562 ,149.10000610351562
2022-01-21 ,143.89999389648438 ,143.9499969482422  ,142.3000030517578  ,142.64999389648438
2022-01-24 ,142.10000610351562 ,144.0              ,141.6999969482422  ,144.0
2022-01-25 ,142.5500030517578  ,142.5500030517578  ,141.25             ,141.64999389648438
2022-01-26 ,141.14999389648438 ,142.1999969482422  ,141.0500030517578  ,141.5500030517578
2022-02-07 ,142.60000610351562 ,142.8000030517578  ,141.1999969482422  ,142.3000030517578
2022-02-08 ,143.3000030517578  ,143.5              ,142.8000030517578  ,142.89999389648438
2022-02-09 ,143.5              ,143.5              ,142.64999389648438 ,143.39999389648438
2022-02-10 ,143.89999389648438 ,145.0500030517578  ,143.5              ,145.0500030517578
2022-02-11 ,144.6999969482422  ,145.0500030517578  ,144.0500030517578  ,144.9499969482422
2022-02-14 ,143.9499969482422  ,143.9499969482422  ,142.1999969482422  ,142.6999969482422
2022-02-15 ,142.6999969482422  ,143.1999969482422  ,141.9499969482422  ,142.0500030517578
2022-02-16 ,143.89999389648438 ,144.4499969482422  ,143.8000030517578  ,144.39999389648438
2022-02-17 ,144.39999389648438 ,145.0              ,144.0              ,144.5
2022-02-18 ,143.5              ,144.14999389648438 ,143.0500030517578  ,144.10000610351562
2022-02-21 ,143.4499969482422  ,143.85000610351562 ,142.8000030517578  ,143.8000030517578
2022-02-22 ,142.60000610351562 ,142.64999389648438 ,140.75             ,141.85000610351562
2022-02-23 ,141.85000610351562 ,142.39999389648438 ,141.64999389648438 ,142.25
2022-02-24 ,141.10000610351562 ,141.10000610351562 ,138.3000030517578  ,138.8000030517578
2022-02-25 ,139.0500030517578  ,139.1999969482422  ,137.85000610351562 ,138.5
2022-03-01 ,139.0500030517578  ,140.8000030517578  ,138.85000610351562 ,140.4499969482422
2022-03-02 ,140.0              ,140.10000610351562 ,139.1999969482422  ,139.64999389648438
2022-03-03 ,140.5              ,140.8000030517578  ,139.85000610351562 ,139.9499969482422
2022-03-04 ,138.5              ,138.85000610351562 ,137.9499969482422  ,138.4499969482422
2022-03-07 ,136.89999389648438 ,136.89999389648438 ,133.75             ,134.0
